service_order_cnt_1d,service_response_avg_time_1d,worker_sign_in_rate_1d,worker_service_cnt_1d,service_time_1d,worker_cnt_1d,service_shop_cnt_1d,worker_evaluate_cnt_1d,ds
63,11280,0.9423,36,899,89,35,135,20241001
56,12600,0.8935,48,725,76,46,126,20241002
72,11700,0.8584,59,882,86,52,113,20241003
80,11160,0.9156,46,926,92,38,129,20241004
68,10320,0.8209,37,867,79,47,142,20241005
77,10140,0.9524,52,825,65,59,137,20241006
54,10860,0.8739,44,782,73,62,149,20241007
46,11640,0.9145,62,846,85,68,152,20241008
61,12420,0.8079,53,879,94,57,134,20241009
72,12840,0.7894,59,906,76,48,146,20241010
65,13320,0.8927,64,925,88,66,138,20241011
