经营大类标识,经营大类,一级类目标识,一级类目,证书标识,证书名称
5,养老产品,24,养生日用品,10000,食品经营许可证
5,养老产品,25,养生保健品,10000,食品经营许可证
5,养老产品,26,养生中药,10000,食品经营许可证
5,养老产品,27,功能性食品,10000,食品经营许可证
7,硬件产品,17,适老家具,20000,产品生产许可证
7,硬件产品,18,适老卫浴,20000,产品生产许可证
7,硬件产品,19,适老电器,20000,产品生产许可证
7,硬件产品,20,医养电子产品,20000,产品生产许可证
7,硬件产品,21,医养日用品,20000,产品生产许可证
7,硬件产品,22,日常消费品,20000,产品生产许可证
7,硬件产品,23,礼品,20000,产品生产许可证
3,适老改造,1722554712214941697,卧室,40000,适老化改造证书
3,适老改造,1722555708749455361,浴室/卫生间,40000,适老化改造证书
3,适老改造,1722555934549811202,客厅,40000,适老化改造证书
3,适老改造,1722555996977831938,餐厅,40000,适老化改造证书
3,适老改造,1722556081404977153,厨房,40000,适老化改造证书
3,适老改造,1722556696301088769,阳台,40000,适老化改造证书
